x_1065_um,distance_y0p00_z0p00_nm,distance_y0p10_z0p00_nm,distance_y0p10_z0p20_nm
0.000000000000000000e+00,9.133184162773096341e-10,3.928396413140730203e+01,9.032315448234611210e+01
3.030303030303030387e-02,1.180533632051043291e+01,4.108408851044874410e+01,9.118345651521862294e+01
6.060606060606060774e-02,2.367920228460392806e+01,4.606600369241495230e+01,9.404289291564545294e+01
9.090909090909091161e-02,3.563807280965981050e+01,5.340168728757900141e+01,9.836963792593155631e+01
1.212121212121212155e-01,4.775416965342527220e+01,6.238114382200043906e+01,1.044809617351896520e+02
1.515151515151515194e-01,6.010498729045625055e+01,7.253997005083202509e+01,1.115586918099586882e+02
1.818181818181818232e-01,7.267820086140255853e+01,8.356564752123802009e+01,1.206730366620241881e+02
2.121212121212121271e-01,8.562664271241699510e+01,9.533938848896487173e+01,1.306600307677286992e+02
2.424242424242424310e-01,9.896170717329650302e+01,1.078040943305584278e+02,1.416953699053298408e+02
2.727272727272727071e-01,1.127649602817143091e+02,1.209467276087646610e+02,1.538142465457220567e+02
3.030303030303030387e-01,1.271129290988496336e+02,1.347906133275756702e+02,1.669767066844100327e+02
3.333333333333333703e-01,1.420894333055323102e+02,1.493839175560055708e+02,1.812264094574983062e+02
3.636363636363636465e-01,1.577870154546648962e+02,1.647951586603733745e+02,1.965861591445570866e+02
3.939393939393939226e-01,1.743086434403529381e+02,1.811095583127037401e+02,2.131406870562291545e+02
4.242424242424242542e-01,1.917697746470719267e+02,1.984312581414866088e+02,2.309541622447254383e+02
4.545454545454545858e-01,2.103008631968409077e+02,2.168827075685853174e+02,2.499652500230096450e+02
4.848484848484848619e-01,2.300504119725719647e+02,2.366069796588863881e+02,2.709768280568212617e+02
5.151515151515151381e-01,2.511886249803856970e+02,2.577707366461633569e+02,2.934162878198089857e+02
5.454545454545454142e-01,2.739115963126535576e+02,2.805643964223687021e+02,3.171652141211704361e+02
5.757575757575758013e-01,2.984456373921738646e+02,3.052151255189657491e+02,3.439862545858908334e+02
6.060606060606060774e-01,3.250506491837633689e+02,3.320825562324319549e+02,3.732491163767350031e+02
6.363636363636363535e-01,3.537552215025861528e+02,3.609004630859304257e+02,4.028901726832076520e+02
6.666666666666667407e-01,3.847941351369896097e+02,3.924981430886301723e+02,4.385733381609142043e+02
6.969696969696970168e-01,4.205644878481421642e+02,4.270394755223417746e+02,4.758398590290826178e+02
